$b$ ,$\varepsilon(b)$
5000 ,5.28013 e-15  
5025 ,5.00542 e-15  
5050 ,4.74546 e-15  
5075 ,4.49940 e-15  
5100 ,4.26644 e-15  
5125 ,4.04584 e-15  
5150 ,3.83692 e-15  
5175 ,3.63900 e-15  
5200 ,3.45150 e-15  
5225 ,3.27383 e-15  
5250 ,3.10546 e-15  
5275 ,2.94588 e-15  
5300 ,2.79461 e-15  
5400 ,2.26410 e-15  
5500 ,1.83510 e-15  
5600 ,1.48785 e-15  
5700 ,1.20657 e-15  
5800 ,9.78645 e-16  
5900 ,7.93857 e-16  
6000 ,6.44031 e-16  
6100 ,5.22522 e-16  
6200 ,4.23967 e-16  
6300 ,3.44021 e-16  
6400 ,2.79164 e-16  
6500 ,2.26545 e-16  
6600 ,1.83853 e-16  
6700 ,1.49213 e-16  
6800 ,1.21105 e-16  
6900 ,9.82951 e-17  
7000 ,7.97865 e-17  
7100 ,6.47653 e-17  
7200 ,5.25734 e-17  
7300 ,4.26793 e-17  
7400 ,3.46489 e-17  
7500 ,2.81308 e-17  
7600 ,2.28401 e-17  
7700 ,1.85454 e-17  
7800 ,1.50590 e-17  
7900 ,1.22287 e-17  
8000 ,9.93106 e-18  
8100 ,8.06556 e-18  
8200 ,6.55082 e-18  
8300 ,5.32082 e-18  
8400 ,4.32211 e-18  
8500 ,3.51110 e-18  
8600 ,2.85248 e-18  
8700 ,2.31756 e-18  
8800 ,1.88311 e-18  
8900 ,1.53021 e-18  
9000 ,1.24356 e-18  
9100 ,1.01069 e-18  
9200 ,8.21507 e-19  
9300 ,6.67779 e-19  
9400 ,5.42879 e-19  
9500 ,4.41385 e-19  
9600 ,3.58903 e-19  
9700 ,2.91866 e-19  
9800 ,2.37378 e-19  
9900 ,1.93085 e-19  
10000 ,1.57077 e-19  
13900 ,6.03125 e-23  
